0 DOI year last_cited_year
0 10.1016/j.jss.2020.110889 2021 2024
0 10.1109/issre52982.2021.00028 2021 2024
0 10.1109/asew52652.2021.00014 2021 2023
0 10.1016/j.jss.2020.110817 2021 2025
0 10.1109/gi52543.2021.00014 2021 2025
0 10.1109/sp40001.2021.00057 2021 2025
0 10.1007/978-3-030-67067-2_17 2021 2025
0 10.1109/issre52982.2021.00032 2021 2024
0 10.1109/icst49551.2021.00033 2021 2025
0 10.1109/issre52982.2021.00015 2021 2024
0 10.1109/tse.2021.3124323 2021 2025
0 10.1109/issre52982.2021.00031 2021 2025
0 10.1109/icse-seet52601.2021.00030 2021 2025
0 10.1109/saner50967.2021.00035 2021 2025
0 10.1145/3453483.3454028 2021 2025
0 10.1109/ipdps49936.2021.00107 2021 2023
0 10.1145/3453483.3454051 2021 2025
0 10.1109/qrs54544.2021.00091 2021 2023
0 10.18653/v1/2021.findings-acl.111 2021 2024
0 10.1109/ms.2021.3070552 2021 2024
0 10.1109/models50736.2021.00011 2021 2024
0 10.1145/3468264.3468600 2021 2025
0 10.1109/saner50967.2021.00018 2021 2024
0 10.1007/s10664-021-10003-7 2021 2025
0 10.1007/s10664-020-09920-w 2021 2023
0 10.1145/3468264.3468544 2021 2025
0 10.1145/3503222.3507763 2022 2025
0 10.1109/qrs57517.2022.00031 2022 2024
0 10.1145/3563327 2022 2025
0 10.1145/3524459.3527348 2022 2024
0 10.1145/3510003.3510117 2022 2024
0 10.1145/3524842.3528482 2022 2025
0 10.1109/saner53432.2022.00096 2022 2025
0 10.1016/j.jss.2022.111263 2022 2023
0 10.1145/3545948.3545975 2022 2025
0 10.1145/3540250.3549098 2022 2025
0 10.1145/3533767.3534368 2022 2025
0 10.1145/3477314.3507083 2022 2025
0 10.1109/sp46214.2022.9833567 2022 2024
0 10.1145/3524459.3527350 2022 2025
0 10.1145/3510003.3510186 2022 2024
0 10.1145/3551349.3560422 2022 2025
0 10.1145/3510003.3510177 2022 2025
0 10.1145/3505247 2022 2025
0 10.1007/s10664-021-10107-0 2022 2024
0 10.1109/icst53961.2022.00030 2022 2023
0 10.1145/3510003.3510147 2022 2025
0 10.1007/s10664-022-10223-5 2022 2025
0 10.1145/3510003.3510040 2022 2025
0 10.1145/3540250.3549130 2022 2025
0 10.1109/access.2022.3145983 2022 2025
0 10.1145/3512290.3528864 2022 2024
0 10.1145/3510003.3510102 2022 2025
0 10.1145/3563330 2022 2024
0 10.1007/978-3-030-99527-0_19 2022 2025
0 10.1145/3551349.3556914 2022 2025
0 10.1145/3551349.3559560 2022 2024
0 10.1145/3540250.3549101 2022 2025
0 10.1109/cgo53902.2022.9741261 2022 2023
0 10.1016/j.infsof.2022.107043 2022 2024
0 10.1145/3551349.3556893 2022 2025
0 10.1145/3551349.3556926 2022 2025
0 10.1016/j.infsof.2022.106865 2022 2025
0 10.1145/3533767.3534219 2022 2025
0 10.1145/3524610.3527895 2022 2025
0 10.1145/3551349.3556943 2022 2025
0 10.1007/s10664-022-10216-4 2022 2024
0 10.1145/3563322 2022 2025
0 10.1109/tse.2023.3255177 2023 2025
0 10.1109/icse48619.2023.00128 2023 2025
0 10.1007/s10664-023-10346-3 2023 2025
0 10.1109/icse48619.2023.00125 2023 2025
0 10.1109/icse48619.2023.00111 2023 2025
0 10.1145/3611643.3613892 2023 2025
0 10.1109/icse48619.2023.00127 2023 2025
0 10.1109/icse48619.2023.00109 2023 2025
0 10.1109/icst57152.2023.00018 2023 2024
0 10.1109/icse48619.2023.00112 2023 2025
0 10.1109/apr59189.2023.00012 2023 2025
0 10.1145/3597926.3598135 2023 2025
0 10.1109/icse48619.2023.00129 2023 2025
0 10.1145/3631974 2023 2025
0 10.1002/smr.2586 2023 2025
